,user_names,text
64,JimboManDude,@lexfridman 💯
65,JimboManDude,"RT @jsolomonReports: FBI warrant for Trump search relied on media reports, like bungled Russia FISA warrants before it | Just The News http…"
66,JimboManDude,@TMZ Another witch hunt of Biden’s political opponent  by Biden’s corrupt justice department
67,JimboManDude,@PodcastMovement So sick of these leftist woke snowflakes
68,JimboManDude,RT @ChuckGrassley: We now know Facebook censored spread of Hunter Biden laptop story after FBI approached them. FBI &amp; Facebook/Big Tech int…
69,JimboManDude,@RichardHeartWin The government literally forced businesses to shut down. The PPP loans were simply to keep them from going bankrupt due to the corrupt government overreach
70,JimboManDude,@theresalenz @SouthwestAir Lol leftists are such authoritarian snowflakes lol 😂
71,JimboManDude,@0xCoast @RichardHeartWin https://t.co/soNYhGtrjE
72,JimboManDude,@coreycosta123 @davidgokhshtein @RichardHeartWin LFG!
73,JimboManDude,@0xCoast @Dumb__Username https://t.co/qUAF4BWj2P
74,JimboManDude,@0xCoast LFG!!!
75,JimboManDude,@WAITWhales LFG!!
76,JimboManDude,@0xCoast @PeterMcCormack 💯
77,JimboManDude,@0xCoast @PeterMcCormack Imagine how many millions of dollars BTC maxis would have made if they just free claimed Hex
78,JimboManDude,RT @elonmusk: Population collapse due to low birth rates is a much bigger risk to civilization than global warming
79,JimboManDude,@NBCNews You mean like when leftist donors like Zuckerberg and Soros steal elections?
80,JimboManDude,@DjokerNole Thank you sir. Sorry the US has sold out to big pharmaceutical companies
81,JimboManDude,@TomFitton 💯
82,JimboManDude,@GoldenCedis False dichotomy. It doesn’t have to be an either or situation. The democrats are stealing from those who chose not to go to college and rewarding those who got irresponsible degrees. And we pay for it with our taxes and higher inflation. FJB
83,JimboManDude,@RichardHeartWin I paid off my loan. Now I wish I didn’t. The democrats have turned into Communists
84,JimboManDude,"@TMZ In other words, he likes dudes"
85,JimboManDude,"@SBF_FTX Love this Sam, but please consider funding the moderate Republicans instead of the corrupt democrats who hate crypto"
86,JimboManDude,@TMZ Those girls are just thirsty for his George Forman grill money
87,JimboManDude,@CGasparino @mujschool Not to mention the impact this will have on already record high inflation
88,JimboManDude,@politico Amazing how science changes just before the mid terms
89,JimboManDude,@cvpayne Glad you achieved the American dream Charles
90,JimboManDude,@calibreftw @WhaleChart Good things come to those who $Wait
91,JimboManDude,"@tyler Twitter is corrupt as hell, just like the democrats"
92,JimboManDude,"RT @charliekirk11: $3,000,000,000 more to arm the Ukrainians

$20,000,000 to arm the IRS

$7,000,000,000 in arms and equipment to the Talib…"
93,JimboManDude,@mcuban Democrats hate crypto mark. And the entire Biden regime is corrupt as hell. Hate to say I told you so
94,JimboManDude,RT @SteveGuest: Oh look at this— here’s 10 minutes of Democrats denying election results:  https://t.co/I0oUumk68d
95,JimboManDude,@ProjectLincoln It’s not a crime to question a corrupt election. It’s called the first amendment
96,JimboManDude,@SBF_FTX Heard you are being investigated by the corrupt Biden regime. I told you so… democrats hate crypto
97,JimboManDude,@Pulse_ChainNews https://t.co/j7EUjnYXIB
98,JimboManDude,@maggieNYT @jodikantor @adamgoldmanNYT More fake news propaganda to cover for the corrupt Biden regime
99,JimboManDude,@SenRandPaul Please replace Mitch if by the Grace of God the Republicans win back the senate. Mitch has become useless baggage for the Republicans
100,JimboManDude,@ZubyMusic Thanks for speaking truth to power ✊
101,JimboManDude,@TayFromCA Thank you. The entire Biden regime is corrupt as hell
102,JimboManDude,@rumblevideo I hope Rumble overtakes communist YouTube at some point
103,JimboManDude,@TomFitton 💯
104,JimboManDude,RT @RandPaul: Fauci’s resignation will not prevent a full-throated investigation into the origins of the pandemic. He will be asked to test…
105,JimboManDude,@nedryun Thank God
106,JimboManDude,@DRIPcommunity LFG!!
107,JimboManDude,@JordanSchachtel Great news
108,JimboManDude,@scrowder My thought is that we need Elon Musk to start his own media company and allow free speech
109,JimboManDude,@engineers_feed Epstein didn’t commit suicide
110,JimboManDude,@TulsiGabbard 💯
111,JimboManDude,"RT @TulsiGabbard: The greatest threat to our democracy is not Trump voters or parents protesting at school board meetings, but the permanen…"
112,JimboManDude,@WatcherGuru Now do 4 year returns on Bitcoin. It’s about 2%
113,JimboManDude,@PalmerReport Lol even left wing nut jobs hate CNN now 😂
114,JimboManDude,@mmpadellan @MSNBC 🤡🤡🤡🤡🤡
115,JimboManDude,RT @loffredojeremy: Armed federal agents recently raided Amos Millers successful organic meat &amp; dairy farm in the old Amish village of Bird…
116,JimboManDude,@TomFitton Thank you for all your hard work Tom
117,JimboManDude,@JanJekielek @VDHanson True
118,JimboManDude,"@RichardHeartWin Looking like a bit too many milkshakes here man, make sure to prioritize your health, we need you bro"
119,JimboManDude,@mrddmia Because the entire Biden regime is corrupt as hell
120,JimboManDude,@0xCoast LFG!!
121,JimboManDude,"RT @StephenM: Crippling inflation. Sky-high energy costs. Ceaseless illegal immigration flooding over an eradicated border. Looting, beatin…"
122,JimboManDude,"RT @TomBevanRCP: Un-fricking-believable: the same cast of characters who ran Russiagate are leading/supervising the raid on Mar-a-Lago. 

h…"
123,JimboManDude,@deach_m By a corrupt third world department of justice you forgot to mention
124,JimboManDude,@realDailyWire @benshapiro Democrats are corrupt to the core
125,JimboManDude,@newsmax @EnesFreedom Thank you Enes for your courage
126,JimboManDude,@SBF_FTX Democrats are trying to kill crypto
127,JimboManDude,@CryptoWhale I still think Elon may buy it. If he doesn’t he will definitely create his own network
128,JimboManDude,@DRIPcommunity 🔥🔥🔥
129,JimboManDude,@CryptoWhale XRP is dumping
130,JimboManDude,@CryptoSavy1 https://t.co/n1xuso6zAf
131,JimboManDude,RT @TheLeoTerrell: DeSantis Announces Arrests Of 20 Individuals For Voter Fraud https://t.co/0HVfzPqeIn
132,JimboManDude,@GovRonDeSantis Best governor in the US.
133,JimboManDude,@PLSBillionaire Hopefully Elon Musk buys twitter and fixes the bot problem
134,JimboManDude,@mgolobich Facts
135,JimboManDude,"@cameron Awesome, would love support for stable coin staking ser"
136,JimboManDude,@0xCoast Waiting patiently for $Wait
137,JimboManDude,"RT @TomFitton: ""Presidential Records Act does not confer any mandatory or even discretionary authority on Archivist to classify records.  U…"
138,JimboManDude,RT @JackPosobiec: FLASHBACK: A left-wing judge ruled in 2009 that  there was no provision in the Presidential Records Act to force the Nati…
139,JimboManDude,@RealPNavarro Add him to the list of bad Trump picks. I like Trump but he selected a lot of bad people. Will he make better selections if he gets another term in office?
140,JimboManDude,@0xCoast @NomicsFinance https://t.co/ehhRl4BLz5
141,JimboManDude,@0xCoast 🔥🔥🔥
142,JimboManDude,@Pulse_ChainNews https://t.co/gg31mneCZB
143,JimboManDude,"RT @rumblevideo: We said once before and we will say it again. Censorship is about to hit high gear, so buckle up.

YouTube just gave a str…"
144,JimboManDude,RT @libsoftiktok: Facebook just suspended our account. No reason given. https://t.co/Siu3sTWtZZ
145,JimboManDude,@Pulse_ChainNews https://t.co/WNTxwUAfd2
146,JimboManDude,@Pulse_ChainNews LFG!!!
147,JimboManDude,@CryptoSavy1 Retired this year. I didn’t like my job but now I’m bored
148,JimboManDude,@STAKEDWEALTH @0xCoast 💯
149,JimboManDude,@Stoic0x @RichardHeartWin LFG!!!
150,JimboManDude,RT @elonmusk: Being a Mom is just as important as any career
151,JimboManDude,"RT @DoctorJanette: America could use 
87,000 more healthcare workers 
87,000 more teachers to aid reading writing &amp; math deficiency 
87,000…"
152,JimboManDude,@PolitiFact Liar. Left wing propaganda as usual from Politifarce
153,JimboManDude,@StephenM True. The journalists have become propagandists for the left
154,JimboManDude,@JohnRatcliffe Let’s go Brandon
155,JimboManDude,@0xCoast LFG!!!
156,JimboManDude,"@0xCoast He used to be so prideful, nice to see some humility"
157,JimboManDude,@BradThomas25 @TomFitton More proof democrat https://t.co/dbnZHof6Ti
158,JimboManDude,@BradThomas25 @TomFitton Read it and weep Democrat https://t.co/e4e0m7DKT7
159,JimboManDude,@WatcherGuru And when will the Pelosi family be charged with insider trading?
160,JimboManDude,"RT @charliekirk11: 10 Terror Suspects were apprehended on the Southern Border in July

More have been caught at the border in 2022 than the…"
161,JimboManDude,RT @Cernovich: Fox News Channel’s Greg Gutfeld Beats Stephen Colbert To Claim Title As Ratings King Of Late Night https://t.co/LxvSDLU2EC
162,JimboManDude,@RichardHeartWin I can’t unsee this
163,JimboManDude,@Cernovich This is the definition of racism
164,JimboManDude,"RT @MayraFlores2022: Payments over $600 through CashApp and Venmo will now be reported to the IRS. 

Who still thinks giving $80B to the IR…"
165,JimboManDude,"RT @P_McCulloughMD: Wikipedia can falsify and defame with impunity.  Google can filter and suppress. Twitter can unfollow, suspend, and del…"
166,JimboManDude,@BradThomas25 @TomFitton So did the democrats and main steam media commit a crime when they said the 2016 election was hacked by Russia and therefore Trump was “illegitimate?” Or when Stacy Abraham’s still never conceded Georgia? I’ll wait
167,JimboManDude,"RT @BillFOXLA: NEW: Border Patrol reports there were 819 known gotaways just in the Del Rio sector over the weekend. 

There have been more…"
168,JimboManDude,@spytrades25 @CryptoWhale Due to the long history of corruption at the FBI the injustice department has an obligation to release it and be transparent
169,JimboManDude,@CryptoWhale The entire Biden regime is corrupt as hell
170,JimboManDude,"@RealPNavarro I like Trump. But he made some terrible selections for his cabinet. Kushner, Omarosa, bill bar, chris Wrey, Jeff sessions etc. I hope he learned his lesson"
171,JimboManDude,@cvpayne https://t.co/yuQWUKUdUI
172,JimboManDude,@nytimes Impeach Biden
173,JimboManDude,@TomFitton @JudicialWatch Thank you
174,JimboManDude,@adventuregirl @pnjaban Lol it’s actually amazing how stupid democrats are 😂
175,JimboManDude,"RT @RepMTG: Impeach Merrick Garland, gut the DOJ, defund the corrupt FBI, and Impeach Biden.

Weaponized law enforcement is communism and h…"
176,JimboManDude,@JackPosobiec If questioning elections was a crime all the democrats should be locked up for questioning the 2016 election
177,JimboManDude,"RT @BillFOXLA: NEW: Live in Del Rio sector, which just saw 2,200 illegal crossings in 24 hours. @RepTonyGonzales recently returned from the…"
178,JimboManDude,@charliekirk11 Agree. Same goes for adults
179,JimboManDude,@TomFitton It’s not a crime to question the results of a fraudulent election
180,JimboManDude,RT @TomFitton: They took Trump's passport. #bananarepublic
181,JimboManDude,@disclosetv Banana republic
182,JimboManDude,@Pulse_ChainNews 💯
183,JimboManDude,@robreiner Trump derangement syndrome 🤡🤡🤡
184,JimboManDude,@0xCoast @coingecko LFG!!!
185,JimboManDude,@cvpayne Skinny dip?
186,JimboManDude,@0xCoast @IcosaCrypto Wait was on a nice roll there this past 24 hours. Hedron took a while to get going but once it did it really took off.  $Wait will have the same story
187,JimboManDude,@WatcherGuru Yep we are all late to the party now
188,JimboManDude,@Cruzinmrs @EpochTimes The FBI could have easily asked for any document they wished for or even subpoenaed any document. They chose to Raid the former presidents home as a corrupt fishing expedition to find anything that could keep trump from running in 2024
189,JimboManDude,@EpochTimes He’s not wrong
190,JimboManDude,"RT @marklevinshow: Of course, it’s a setup https://t.co/sRsFNAHKIR"
191,JimboManDude,@Eric_Schmitt True. That’s why we need billionaires like Elon to step up and buy these main stream media organizations so the truth can get out there to the public
192,JimboManDude,"RT @BillFOXLA: NEW: We’ve already witnessed 500+ migrants cross illegally into Eagle Pass, TX this morning alone, including this huge singl…"
193,JimboManDude,RT @AuronMacintyre: Free speech was valuable to the left when it served as a mechanism to undermine the stability of the west and  gain ent…
194,JimboManDude,@benshapiro The entire Biden regime is corrupt as hell
195,JimboManDude,RT @benshapiro: So they've released the search warrant for Trump and we now know...pretty much nothing. Except for one thing: they're clear…
196,JimboManDude,@ChuckCallesto He’s not wrong
197,JimboManDude,RT @RichardHeartWin: https://t.co/LiL4Q9SvfF update. We've got a bit of red team vs blue team security auditing going. We've written a deni…
198,JimboManDude,@RichardHeartWin https://t.co/2GeZRYeukC
199,JimboManDude,@JudicialWatch @TomFitton Exactly. Hillary and the media all said Russia hacked the 2016 election. Democrats are election deniers and are weakening democracy
200,JimboManDude,"RT @JudicialWatch: “According to the Left, raising questions about an election outcome is something you’re not allowed. Unless, it’s an ele…"
201,JimboManDude,RT @TulsiGabbard: Biological males are breaking the skulls of female MMA fighters in the name of transgender equality. Standing up for the…
202,JimboManDude,"RT @DonaldJTrumpJr: If you think it’s a coincidence that Jeffrey Epstein’s lawyer became a federal judge and that very same judge, of thous…"
203,JimboManDude,@0xCoast 💯
204,JimboManDude,@jamiegangel @MarkMazzettiNYT More fake news bull shit as usual
205,JimboManDude,@TomFitton Can trump sue?
206,JimboManDude,@0xCoast https://t.co/ry9xM4yoEP
207,JimboManDude,@RichardHeartWin Careful out there bro
208,JimboManDude,@WatcherGuru If only I bought BTC at $1…if only
209,JimboManDude,@0xCoast LFG!!!
210,JimboManDude,RT @ChuckCallesto: BREAKING NOW: FBI seizes privileged Trump records including docs covered under attorney-client privilege and potentially…
211,JimboManDude,@MarinaMedvin The entire Biden regime is corrupt as hell
212,JimboManDude,@Pulse_ChainNews Please tell me more about the free air drops
213,JimboManDude,@maggieNYT More fake news as usual
214,JimboManDude,@DavidSacks Shocker
215,JimboManDude,RT @TomFitton: Is #DefundTheFBI trending?
216,JimboManDude,@DonaldJTrumpJr Facts
217,JimboManDude,@Whatzgoodco @biggest_lou @theallinpod @SoftBank The left wing nut jobs are so incredibly stupid 😂
218,JimboManDude,@CBSMornings lol climate change
219,JimboManDude,@McAdooGordon True
220,JimboManDude,RT @AConcernedPare2: The CA 9th-12th grade literature list contains 0 books written before 2016 (no classics). It has books by Michelle Oba…
221,JimboManDude,@PLSBillionaire 6 months
222,JimboManDude,"RT @MZHemingway: 'The FBI Raid On Melania's Closet Was Justified,' Says Merrick Garland Wearing Gorgeous New Evening Gown And Sun Hat https…"
223,JimboManDude,"RT @CitizenFreePres: Narco attack on the U.S. border. The cartels carried out simultaneous attacks in Tijuana, Mexicali, and Tecate. 

http…"
224,JimboManDude,@lexfridman @magattew Democrats are corrupt as hell. That is all
225,JimboManDude,@jesseibison3 @SenMarkKelly @USBPChiefYUM But democrats and main steam media all said walls were racist. Are walls not racist anymore 🤔
226,JimboManDude,@SenMarkKelly @USBPChiefYUM Mark is finally talking about the border now that midterms are just around the corner. What a crock of shit
227,JimboManDude,@RichardHeartWin Can’t go wrong with either one
228,JimboManDude,@0xCoast Are you aware of any other airdrops for those who sacrificed for PulseChain besides $Wait? I already claimed my $Wait 👍
229,JimboManDude,RT @TulsiGabbard: Trump search warrant: This isn't about whether or not you support Trump. This is about our civil liberties. https://t.co/…
230,JimboManDude,@CBS_Herridge The entire Biden regime is corrupt as hell
231,JimboManDude,@Eric_Schmitt Thank you for fighting the corrupt Biden regime
232,JimboManDude,@TulsiGabbard 💯
233,JimboManDude,@cvpayne @AllenWest The democrats are corrupt
234,JimboManDude,@AllenWest The entire Biden regime is corrupt as hell
235,JimboManDude,RT @AllenWest: We've been on the platform for over a year. Not one community strike. Not one notification. We hit 1M views in less than 12…
236,JimboManDude,@GriffJenkins @FoxNews @USBPChief Let’s go Brandon
237,JimboManDude,@CGasparino @WSJ The entire Biden administration is corrupt as hell
238,JimboManDude,@theallinpod @SoftBank The FBI is corrupt as hell. Sad day for America
239,JimboManDude,"RT @ElectionWiz: Pelosi’s Son Who Joined Her During Taiwan Trip is Top Investor in $22 Million Chinese Company

https://t.co/OTvOmxYegX"
240,JimboManDude,@nedryun 💯
241,JimboManDude,@PLSBillionaire That would be awesome
242,JimboManDude,@DougDucey Thank you sir
243,JimboManDude,RT @elonmusk: Fate 🖤 Irony https://t.co/RHZ9BEws7k
244,JimboManDude,"RT @JackPosobiec: BREAKING: Trump confirms documents were declassified, asks when Obama library will be raided https://t.co/nh35T3UNZB"
245,JimboManDude,RT @AshleyMunoz45: UPDATE:🚨It has been revealed that Donald Trump was housing a private server @ Mar-a-Lago &amp; hired a close associate to wi…
246,JimboManDude,@0xCoast Yep
247,JimboManDude,RT @TomFitton: Fact check: The left is being dishonest about the Trump records issue. A president has discretion on what docs to retain as…
248,JimboManDude,@RepBoebert Garbage bill
249,JimboManDude,@Eric_Schmitt 💯
250,JimboManDude,"RT @MayraFlores2022: Inflation Reduction Act of 2022

• Place a $52 billion tax increase on small businesses.
• Place $72 billion tax incre…"
251,JimboManDude,@TomFitton Zero
252,JimboManDude,"@JennaEllisEsq I support trump. But he made so many terrible appointments: omarosa, fauci, wray, Jeff sessions, Bill bar etc. Has he learned from his mistakes?"
253,JimboManDude,@WatcherGuru Banana republic
254,JimboManDude,RT @NickAdamsinUSA: DEFUND THE FBI! https://t.co/PDI00yGRoD
255,JimboManDude,"RT @ClayTravis: How in the world can Merrick Garland, the AG for a current president who already ran once and may be running against Trump…"
256,JimboManDude,@michaeljburry I avoid the bay area at all costs ser
257,JimboManDude,@BarnettforAZ The democrats already succeeded in their coup in 2020 when they stole the election
258,JimboManDude,@michaeljburry The left is corrupt as hell. Don’t listen to any of them. Just block them
259,JimboManDude,@TwitterSafety More election interference from corrupt Twitter
260,JimboManDude,@HuffPost Lol what a crock of shit. Nobody believes this
261,JimboManDude,@FBI Corrupt pieces of garbage. You turned America into a 3rd world country
262,JimboManDude,@DRIPcommunity https://t.co/bWaERTXyBA
263,JimboManDude,"RT @joelpollak: If the FBI waited 18 months to seize ""nuclear documents"" from a country club, everyone at the agency should be fired."
264,JimboManDude,RT @MonicaCrowley: So now they're saying Trump may have had our nation's most sensitive nuclear secrets - but they waited a year and half t…
265,JimboManDude,RT @ChuckCallesto: BREAKING REPORT: FBI agent reportedly THREATENED Hunter Biden laptop repairman John Paul Mac Isaac to stay silent....
266,JimboManDude,"RT @charliekirk11: It was not a raid. It was a 9.5 hour occupation. 270 man hours. 

This was a military operation against a political diss…"
267,JimboManDude,RT @ComfortablySmug: Impeach Merrick Garland
268,JimboManDude,RT @ClayTravis: The CDC has now ended all different treatments for vaccinated and unvaccinated people. So why in the world isn’t everyone w…
269,JimboManDude,@kimguilfoyle @TheLeoTerrell Lol Cheney will suffer the biggest electoral loss in Wyoming history for any incumbent
270,JimboManDude,"RT @seanmdav: We all know the FBI would 100% plant evidence against Trump given the opportunity, because they already did it repeatedly dur…"
271,JimboManDude,RT @MarshaBlackburn: Joe Biden weaponized the DOJ to take down his top political opposition.
272,JimboManDude,@katiadoyl Liar
273,JimboManDude,@AmericaFirstPR @Cernovich Contact the AG of Texas
274,JimboManDude,"RT @disclosetv: NEW - FBI agent reportedly threatened Hunter Biden laptop repairman to stay silent.

https://t.co/fbrOz1i7NO"
275,JimboManDude,RT @JesseKellyDC: https://t.co/QuPwncXaGl
276,JimboManDude,"RT @NBSaphierMD: Now that the CDC no longer differentiates between Covid vaccinated/unvaccinated individuals, every employee fired for bein…"
277,JimboManDude,RT @LisaMarieBoothe: Questioning an election is not a crime
278,JimboManDude,"RT @barnes_law: Early forecast: the warrant won't disclose what they were really looking for, but mostly make them look like a joke for wha…"
279,UTruthcast,https://t.co/1B1RfttjUV
280,UTruthcast,@tbunch99 Guilty
281,UTruthcast,RT @FranticMissy: To be very clear I am not a christian. I am a FOLLOWER of CHRIST. I follow HIS teachings. Not yours. Take your hate somew…
282,UTruthcast,@LuxAeth Coming soon https://t.co/CtscOKou5L
283,UTruthcast,@OccultRejects Crazy bitch!
284,UTruthcast,@libsoftiktok Well alllllllllllllllllrighty then https://t.co/ORjdkEmD44
285,UTruthcast,"Give my co-host and alter ego @ConspiracyPlayr a follow and check out his show Conspiracy Playtime @ https://t.co/xpaFzinwbg and check out our show 
🇺🇸DISINF🧿BATION🇺🇸 every week on #rumble #GooglePodcasts #ApplePodcast #RadioPublic #Stitcher #FuckSpotify #Anchor"
286,UTruthcast,"RT @UTruthcast: @JoJoFromJerz Checkout the entire episode of
🇺🇲DISINF👁️BATION🇺🇲
 on Google Podcasts and all your major platforms #Google #A…"
287,UTruthcast,"RT @ConspiracyPlayr: Your favorite shit talking fuck-t@rds, @UTruthcast and @ConspiracyPlayr, are also up on Rumble with the new full episo…"
288,UTruthcast,"@JoJoFromJerz Checkout the entire episode of
🇺🇲DISINF👁️BATION🇺🇲
 on Google Podcasts and all your major platforms #Google #Apple #RadioPublic #PocketCast #FuckSpotify  @ConspiracyPlayr
@UTruthcast @disinfobation(ers)
🇺🇲DISINF👁️BATION🇺🇲https://t.co/9LamMIWuoF"
289,UTruthcast,@bradjpinch @JoJoFromJerz Lies
290,UTruthcast,"@JoJoFromJerz I think you're terribly wrong about this. One his base has watched as the media and Govt has fabricated every bad story from Russia collusion to his conversation w/ Zelenski over the Biden family's corruption. If he's indicted and arrested, it's only going to grab the flames."
291,UTruthcast,@NielsKnk Who cares!?
292,UTruthcast,@OccultRejects I don't see how kids are going to stumble across this if it's on FX. It's not like they put it on Disney Plus right beside Frozen.
293,UTruthcast,@tbunch99 Right
294,UTruthcast,"RT @disinfobation: Checkout the entire episode of
🇺🇲DISINF👁️BATION🇺🇲
 or rewatch it segment by segment only on #RUMBLE  @ConspiracyPlayr
@U…"
295,UTruthcast,"Checkout the entire episode of
🇺🇲DISINF👁️BATION🇺🇲
 on Google Podcasts and all your major platforms #Google #Apple #RadioPublic #PocketCast #FuckSpotify  @ConspiracyPlayr
@UTruthcast @disinfobation(ers)
https://t.co/eHQxZanCU8"
296,UTruthcast,"RT @ConspiracyPlayr: Your friendly neighborhood @disinfobation-ers are back, with a full new episode. Grab your favorite propaganda absorbi…"
297,UTruthcast,"Justin Trudeau is going to be banning knives next y'all better put your steak knives away! 😂😂😂
🇨🇦DISINF👁️BATION🇨🇦

Canadian police: 1 suspect in stabbings has been found dead
https://t.co/bztizFWOpB"
298,UTruthcast,https://t.co/7CA8vnUWrN
299,UTruthcast,"RT @UTruthcast: Di$InfObation Biden Goes H!tler w/ @ConspiracyPlayr 
https://t.co/r9JNFtBtSH"
300,UTruthcast,"Di$InfObation Biden Goes H!tler w/ @ConspiracyPlayr 
https://t.co/r9JNFtBtSH"
